Bases loaded: CBASE=e660, FBASE=ee60, BBASE=fc60, DPBASE=fd04
Port write 04 (console output), value (52) PC=fcd2, AF=5200, BC=ff52, DE=ffff SP=00fe HL=ffc7
Port write 04 (console output), value (5a) PC=fcd2, AF=5a0c, BC=ff5a, DE=ffff SP=00fe HL=ffc8
Port write 04 (console output), value (38) PC=fcd2, AF=3828, BC=ff38, DE=ffff SP=00fe HL=ffc9
Port write 04 (console output), value (30) PC=fcd2, AF=3024, BC=ff30, DE=ffff SP=00fe HL=ffca
Port write 04 (console output), value (20) PC=fcd2, AF=2020, BC=ff20, DE=ffff SP=00fe HL=ffcb
Port write 04 (console output), value (42) PC=fcd2, AF=4204, BC=ff42, DE=ffff SP=00fe HL=ffcc
Port write 04 (console output), value (49) PC=fcd2, AF=4908, BC=ff49, DE=ffff SP=00fe HL=ffcd
Port write 04 (console output), value (4f) PC=fcd2, AF=4f08, BC=ff4f, DE=ffff SP=00fe HL=ffce
Port write 04 (console output), value (53) PC=fcd2, AF=5304, BC=ff53, DE=ffff SP=00fe HL=ffcf
Port write 04 (console output), value (20) PC=fcd2, AF=2020, BC=ff20, DE=ffff SP=00fe HL=ffd0
Port write 04 (console output), value (31) PC=fcd2, AF=3120, BC=ff31, DE=ffff SP=00fe HL=ffd1
Port write 04 (console output), value (2e) PC=fcd2, AF=2e2c, BC=ff2e, DE=ffff SP=00fe HL=ffd2
Port write 04 (console output), value (30) PC=fcd2, AF=3024, BC=ff30, DE=ffff SP=00fe HL=ffd3
Port write 04 (console output), value (0a) PC=fcd2, AF=0a0c, BC=ff0a, DE=ffff SP=00fe HL=ffd4
Port write 04 (console output), value (0d) PC=fcd2, AF=0d08, BC=ff0d, DE=ffff SP=00fe HL=ffd5
Port write 01 (Warm boot), value (00) PC=fcad, AF=0044, BC=ff0d, DE=ffff SP=0100 HL=ffd6
Bases loaded: CBASE=e660, FBASE=ee60, BBASE=fc60, DPBASE=fd04
Port write 0c (set dma), value (00) PC=fcf2, AF=00a8, BC=0080, DE=ff00 SP=eef5 HL=0080
Port write 09 (select disk), value (00) PC=fce6, AF=0054, BC=0000, DE=0000 SP=eef1 HL=ee8b
Port write 0a (set track), value (00) PC=fcea, AF=0040, BC=0000, DE=0000 SP=eeeb HL=0000
Port write 10 (sector translate), value (00) PC=fd02, AF=0044, BC=0000, DE=0000 SP=eeed HL=0000
